Created at 1/26/2008 10:57:17 AM from C:\Documents and Settings\Brandon\My Documents\aClimax\liBH4\Li2B12H12\VASP.ACLIMAX
Created using a-CLIMAX v.5.5.0 LE (Workshop Edition)
CM-1,0-1,0-2,0-3,0-4,W1,W2,W3,W4,Total,Experimental,IR,Raman,Raman Depolarised
118,0.501023624207105,2.71307125267676E-02,1.22464705791742E-04,2.12785017464462E-06,5.20538238675306E-02,1.09794801003885E-03,1.4837053316063E-05,5.82586672740229E-08,0.581445596479392,0,0,0,0
119,0.440253736218633,2.58790963587597E-02,1.60715541402423E-04,2.17142532748534E-06,5.22460469668132E-02,1.12104655973107E-03,1.52245345650448E-05,6.04954966373125E-08,0.519678098100728,0,0,0,0
120,0.362051235611172,2.49064158633241E-02,2.06425381066118E-04,2.27045343211548E-06,0.052448191799182,1.14411229105458E-03,1.5619615612815E-05,6.2811911261992E-08,0.440774333826755,0,0,0,0
121,0.275600080889287,2.40006568539069E-02,2.51758485217452E-04,2.46285721876746E-06,5.26602387093235E-02,1.16731888345952E-03,1.60223078186476E-05,6.52233388563182E-08,0.35369860420957,0,0,0,0
122,0.19611512813743,2.29126576707027E-02,2.88262659106784E-04,2.72536404903777E-06,0.052882168331493,1.19050045027804E-03,1.64316784869178E-05,6.77433450021511E-08,0.273407942034891,0,0,0,0
123,0.13828438217127,2.16022988494349E-02,3.11413652461685E-04,2.98167681778854E-06,5.31139615883629E-02,1.21385311154204E-03,1.68477394179564E-05,7.03531410719949E-08,0.214545809142449,0,0,0,0
124,0.112397928463413,2.02702860392433E-02,3.24013677961688E-04,3.14210759906183E-06,0.053355599689879,1.23690252656806E-03,1.72705026185947E-05,7.30385382900783E-08,0.18760521604582,0,0,0,0
125,0.123640167779955,1.91926264430567E-02,3.35942488492348E-04,3.15183056570192E-06,0.053598068600308,1.25953543060837E-03,1.77018182779483E-05,7.57936271494554E-08,0.198047270184891,0,0,0,0
126,0.17233425570336,1.85353771935111E-02,3.59666632201127E-04,3.01947077021412E-06,5.38413498224446E-02,1.28175221287137E-03,1.81440831649105E-05,7.86246554181895E-08,0.246373643742978,0,0,0,0
127,0.253049388890766,1.83238665548911E-02,4.03491733834182E-04,2.8098846451812E-06,5.40980337991922E-02,1.30320207981769E-03,1.85986938003234E-05,8.15434893997856E-08,0.327199473180436,0,0,0,0
128,0.352844647137826,1.85871795164679E-02,4.66185055725841E-04,2.60678924472077E-06,5.43681024425049E-02,1.32392791874523E-03,1.90686733612978E-05,8.45637456797174E-08,0.427611802097621,0,0,0,0
129,0.451190280693194,1.95320606442557E-02,5.36210921909085E-04,2.46838072072849E-06,5.46515380667953E-02,1.34406816182888E-03,1.95519774853188E-05,8.76967773193162E-08,0.527276266542966,0,0,0,0
130,0.524053455843678,2.15577097650242E-02,5.96502491518948E-04,2.4015956099433E-06,0.054948323387829,1.36377873152019E-03,2.00484737016161E-05,9.09332039879737E-08,0.602542311222086,0,0,0,0
131,0.551897093974191,2.50352080186069E-02,6.32645146189037E-04,2.36770395363911E-06,5.52584415216289E-02,1.38342713914703E-03,2.05564731516793E-05,9.42515620379945E-08,0.63422983422843,0,0,0,0
132,0.527941477481001,2.99577580424714E-02,6.40254124258726E-04,2.31265495445723E-06,0.055581875983391,1.40327120527921E-03,2.10759902763425E-05,9.7636478530727E-08,0.61554812311811,0,0,0,0
133,0.461928991495618,3.56907972880243E-02,6.27472437425927E-04,2.20210326315747E-06,5.59186106864117E-02,1.42356966006594E-03,2.16070397907702E-05,1.0107444273399E-07,0.555613351785042,0,0,0,0
134,0.377032838843147,4.10253635956479E-02,6.10999225645781E-04,2.04059065553346E-06,5.62494945044202E-02,1.44412696963906E-03,2.21491464072453E-05,1.04565558413066E-07,0.476387117441122,0,0,0,0
135,0.301604254556109,4.45693202281506E-02,6.07608894882388E-04,1.86578066161203E-06,5.65745110853725E-02,1.46536879482625E-03,2.27020559904952E-05,1.08125260193007E-07,0.404845739521253,0,0,0,0
136,0.25990094961929,0.045300423459535,6.2571222690958E-04,1.72418432471985E-06,5.68936434137633E-02,1.48740894386676E-03,2.32663000246817E-05,1.11763040825297E-07,0.364233239910754,0,0,0,0
137,0.265277883490425,0.042991862313527,6.61545274627809E-04,1.64522280198159E-06,5.72068738095126E-02,1.51024754898951E-03,2.38405515180757E-05,1.15480016877355E-07,0.367674013691419,0,0,0,0
138,0.317028151086646,3.82870477507212E-02,7.01908903116979E-04,1.63011377428565E-06,0.057515910342169,1.53433362915368E-03,2.4426052573599E-05,1.19264671340327E-07,0.415093527142826,0,0,0,0
